,Band,Fans,Formed,Consciously Uncoupled,Country,Happiness Rank,Happiness Score,Whisker High,Whisker Low,GDP Per Capita,Family,Life Expectancy,Freedom,Generosity,Trust/Corruption,Dystopia Index
113,The Exploited,33,1979,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
114,Code,30,1998,1998,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
115,Extreme Noise Terror,30,1985,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
116,Solstice,30,1990,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
117,Biomechanical,28,2001,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
118,The Axis Of Perdition,28,2002,2013,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
119,Ingested,27,2004,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
120,The Haarp Machine,27,2007,2007,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
121,Therapy?,27,1989,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
122,Blitzkrieg,25,1980,1980,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
123,Christopher Lee,25,2009,2009,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
124,The Prophecy,25,2001,2001,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
125,Demon,24,1979,1979,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
126,Grave Miasma,24,2006,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
127,Headspace,24,2006,2006,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
128,Tokyo Blade,24,1982,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
129,Conan,23,2006,2006,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
130,Darkest Era,23,2005,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
131,Iommi,23,2000,2000,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
132,The Rotted,23,1997,1997,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
133,De Profundis,22,2005,2005,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
134,Lychgate,22,2001,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
135,Voices,22,2011,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
136,Cruciamentum,21,2005,2005,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
137,Ancient Ascendant,20,2005,2005,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
138,Annotations Of An Autopsy,20,2006,2013,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
139,Doom,20,1987,1987,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
140,Enter Shikari,20,1999,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
141,Steve Harris,20,2012,2012,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
142,Eden's Curse,18,2006,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
143,Holocaust,18,1977,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
144,Mortad,18,2010,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
145,Bury Tomorrow,17,2006,2006,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
146,Indesinence,17,2001,2001,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
147,Lost In Thought,17,2007,2007,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
148,Malefice,17,2003,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
149,SSS,17,2005,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
150,Aeon Zen,16,2008,2008,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
151,Bong,16,2005,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
